C+ID,CONJUNTO,STATUS,ASESOR,FECHA,GÉNERO,EDAD,PAÍS,CIUDAD,PROFESIÓN,OCUPACIÓN,ESTADO CIVIL,INGRESOS MENSUALES,CANALES
XF3,X,VENDIDO,JANIER VERA,12/8/2024,HOMBRE,26,COLOMBIA,JAMUNDÍ,OFICIAL DE CONSTRUCCION,EMPLEAD@,CASAD@,$3.000.000,SOY REFERIDO
XF4,X,VENDIDO,ISABEL ARBOLEDA,22/8/2024,HOMBRE,39,COLOMBIA,JAMUNDÍ,ABOGADO,EMPLEAD@,SOLTER@,$4.000.000,LOS VI EN REDES
XF5,X,VENDIDO,VALERIA YEPES,1/8/2024,MUJER,35,COLOMBIA,JAMUNDÍ,ENFERMERA,EMPLEAD@,CASAD@,$3.000.000,LOS VI EN REDES
XF6,X,VENDIDO,JANIER VERA,4/7/2024,HOMBRE,33,COLOMBIA,JAMUNDÍ,AVICULTOR,INDEPENDIENTE,CASAD@,$3.000.000,PASÉ Y ENTRÉ
XF7,X,DISPONIBLE,, ,,,,,,,,,
XF8,X,DISPONIBLE,, ,,,,,,,,,
XF9,X,VENDIDO,BM (CARLOS),1/4/2024,,,,,,,,,
XF10,X,VENDIDO,GABRIELA RODRIGUEZ,21/1/2025,MUJER,43,COLOMBIA,CALI,COMERCIANTE,EMPLEAD@,UNIÓN LIBRE,$3.000.000,LOS VI EN REDES
XF11,X,VENDIDO,ISABEL ARBOLEDA,29/1/2025,MUJER,43,COLOMBIA,CALI,COMERCIANTE,EMPLEAD@,UNIÓN LIBRE,$3.000.000,LOS VI EN REDES
XF12,X,VENDIDO,GABRIELA RODRIGUEZ,29/1/2025,MUJER,43,COLOMBIA,CALI,COMERCIANTE,EMPLEAD@,UNIÓN LIBRE,$3.000.000,LOS VI EN REDES
XJ12,X,VENDIDO,GABRIELA RODRIGUEZ,8/7/2025,HOMBRE,21,COLOMBIA,JAMUNDÍ,COMERCIANTE,INDEPENDIENTE,SOLTER@,$2.500.000,SOY REFERIDO
XF14,X,DISPONIBLE,, ,,,,,,,,,
XF15,X,DISPONIBLE,, ,,,,,,,,,
XF16,X,DISPONIBLE,, ,,,,,,,,,
XF17,X,DISPONIBLE,, ,,,,,,,,,
XF18,X,VENDIDO,ISABEL ARBOLEDA,10/9/2024,HOMBRE,50,COLOMBIA,CALI,SOLDADOR,INDEPENDIENTE,CASAD@,$3.000.000,PASÉ Y ENTRÉ
XF19,X,VENDIDO,ISABEL ARBOLEDA,29/11/2024,HOMBRE,64,COLOMBIA,CALI,QUIMICO,EMPLEAD@,CASAD@,$4.000.000,PASÉ Y ENTRÉ
XF20,X,VENDIDO,ISABEL ARBOLEDA,27/12/2024,MUJER,27,COLOMBIA,JAMUNDÍ,,EMPLEAD@,SOLTER@,$3.000.000,SOY REFERIDO
XF21,X,VENDIDO,GABRIELA RODRIGUEZ,28/12/2024,MUJER,34,COLOMBIA,ROBLES,COMERCIANTE,INDEPENDIENTE,CASAD@,$3.000.000,PASÉ Y ENTRÉ
XF22,X,VENDIDO,ISABEL ARBOLEDA,16/7/2024,HOMBRE,52,COLOMBIA,JAMUNDÍ,GOTA GOTA ,INDEPENDIENTE,UNIÓN LIBRE,$3.000.000,"LOS VI EN REDES, PERO NO ESCRIBÍ"
XF23,X,DISPONIBLE,, ,,,,,,,,,
XF24,X,DISPONIBLE,, ,,,,,,,,,
XF25,X,VENDIDO,DACION,1/4/2024,,,,,,,,,
XF26,X,VENDIDO,LAURA DANIELA GALLO,14/6/2025,HOMBRE,38,COLOMBIA,PEREIRA,INGENIERO CIVIL,EMPLEAD@,SOLTER@,"$3,000,000",LOS VI EN REDES
XF27,X,DISPONIBLE,, ,,,,,,,,,
XF28,X,DISPONIBLE,, ,,,,,,,,,
XF29,X,DISPONIBLE,, ,,,,,,,,,
XF30,X,DISPONIBLE,, ,,,,,,,,,
XF31,X,DISPONIBLE,, ,,,,,,,,,
XF32,X,DISPONIBLE,, ,,,,,,,,,
XG1,X,DISPONIBLE,, ,,,,,,,,,
XG2,X,VENDIDO,ISABEL ARBOLEDA,24/9/2024,HOMBRE,57,COLOMBIA,JAMUNDÍ,,EMPLEAD@,UNIÓN LIBRE,$3.000.000,PASÉ Y ENTRÉ
XG3,X,VENDIDO,ISABEL ARBOLEDA,23/12/2024,MUJER,43,ESPAÑA,,,INDEPENDIENTE,SOLTER@,$5.000.000,SOY REFERIDO
XG4,X,VENDIDO,GABRIELA RODRIGUEZ,26/3/2025,MUJER,55,COLOMBIA,CALI,COMERCIANTE,INDEPENDIENTE,UNIÓN LIBRE,$2.000.000,SOY REFERIDO
